FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",1,3,"1600","1700","LECT","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",1,3,"1700","1900","PRAC","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",1,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",2,3,"1600","1700","LECT","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",2,3,"1700","1900","PRAC","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",2,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",3,3,"1600","1700","LECT","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",3,3,"1700","1900","PRAC","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",3,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",4,3,"1600","1700","LECT","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",4,3,"1700","1900","PRAC","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",4,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",5,3,"1600","1700","LECT","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",5,3,"1700","1900","PRAC","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",5,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",6,3,"1600","1700","LECT","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",6,3,"1700","1900","PRAC","MAHIT","202","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",6,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",7,3,"1600","1700","LECT","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",7,3,"1700","1900","PRAC","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",7,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",8,3,"1600","1700","LECT","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",8,3,"1700","1900","PRAC","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",8,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",9,3,"1600","1700","LECT","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",9,3,"1700","1900","PRAC","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",9,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",10,3,"1600","1700","LECT","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",10,3,"1700","1900","PRAC","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",10,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",11,3,"1600","1700","LECT","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",11,3,"1700","1900","PRAC","MAHIT","201","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",11,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",12,3,"1600","1700","LECT","MAHIT","401","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",12,3,"1700","1900","PRAC","MAHIT","401","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",12,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",13,3,"1600","1700","LECT","MAHIT","401","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",13,3,"1700","1900","PRAC","MAHIT","401","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",13,3,"IA","IA","PRAC","IA","IA","STAFF","S",25
"สถาบันภาษาไทยสิรินธร","0123101","PARAGRAP WRITING",14,3,"1600","1700","LECT","MAHIT","401","STAFF","S",25
