COURSE_NO,COURSE_CODE,COURSE_NAME,COURSE_SECTION,COURSE_TYPE,COURSE_DAY,COURSE_STARTTIME,COURSE_ENDTIME,ROOM_BUILDING,ROOM_CODE,ENROLL,CAPACITY
1,2100111,EXPL ENG WORLD,1,LECT,FR,09:30,12:30,ENG3,117,425,620
2,2100303,CREAT DES COMM,1,LECT,TU,18:00,19:30,EN100,402,35,55
3,2100303,CREAT DES COMM,1,DISC,TH,18:00,19:30,EN100,402,35,60
4,2100604,STRAT TE CTRL RLS,1,LECT,TU,13:00,16:00,ENG1,203/1,20,40
5,2100605,BIOMED EMBED SYS,1,LECT,TH,13:00,16:00,ENG1,203/1,20,35
6,2100791,BME SEM I,1,SMNA,WE,13:00,16:00,ENG1,203/1,5,5
7,2100792,BME SEM II,1,LECT,WE,13:00,16:00,ENG1,203/1,10,15
8,2100794,BME SEM IV,1,LECT,WE,13:00,16:00,ENG1,203/1,3,5
9,2101202,MECH MAT I,1,LECT,MO,11:00,12:30,ENG3,408,40,50
10,2101202,MECH MAT I,2,LECT,MO,11:00,12:30,CE,212,40,75
11,2101202,MECH MAT I,3,LECT,MO,11:00,12:30,ENG3,304,40,75
12,2101252,STAT CE,1,LECT,FR,09:00,12:00,ENG3,401,56,85
13,2101252,STAT CE,2,LECT,FR,09:00,12:00,ENG3,420,56,110
14,2101253,APP MATH CE,1,LECT,TU,08:00,09:30,ENG3,315,140,280
15,2101255,INTRO EE ME ENV,1,LECT,FR,13:00,15:00,ENG1,113,125,125
16,2101307,RC DESIGN,1,LECT,TU,08:00,09:30,CE,209,22,20
17,2101307,RC DESIGN,3,LECT,TU,08:00,09:30,CE,209,22,20
18,2101307,RC DESIGN,5,LECT,TU,08:00,09:30,CE,209,20,30
19,2101308,MECH MAT II,1,LECT,MO,08:00,09:30,ENG3,417,30,35
20,2101310,STRUCT ANAL I,1,LECT,TU,11:00,12:30,ENG3,305,50,80
21,2101312,STRUCT ANAL II,1,LECT,TU,11:00,12:30,ENG3,322,70,90
22,2101312,STRUCT ANAL II,2,LECT,TU,11:00,12:30,ENG3,324,70,90
23,2101321,SOIL MECHS,1,LECT,MO,09:30,11:00,ENG3,301,56,80
24,2101321,SOIL MECHS,2,LECT,MO,09:30,11:00,ENG3,309,56,90
25,2101335,CONS SUPVN,1,LECT,FR,14:00,16:00,CE,209,110,120
26,2101336,RC DESIGN,1,L/P,TU,09:30,11:00,ENG3,315,110,125
27,2101338,HIGHWAY ENG,1,LECT,FR,08:00,10:00,CE,209,58,90
28,2101338,HIGHWAY ENG,1,LAB,FR,10:00,13:00,CE,209,58,90
29,2101338,HIGHWAY ENG,2,LECT,FR,08:00,10:00,CE,212,55,55
30,2101338,HIGHWAY ENG,2,LAB,FR,10:00,13:00,CE,212,55,95
31,2101344,FUND CE,1,LECT,MO,09:30,11:00,ENG1,305/1,30,45
32,2101421,GEO ENG DES CONS,1,LECT,MO,09:30,11:00,ENG3,408,50,95
33,2101454,CONST MANAGEMENT,1,LECT,TU,09:30,11:00,ENG3,317,59,105
34,2101454,CONST MANAGEMENT,2,LECT,TU,09:30,11:00,ENG3,318,56,105
35,2101461,BUILD DESIGN,1,LECT,TU,11:00,12:00,ENG3,405,60,60
36,2101461,BUILD DESIGN,1,LAB,TU,13:30,16:30,ENG3,405,60,75
37,2101464,BRIDGE DESIGN,1,L/P,MO,13:30,16:30,ENG3,204,40,50
38,2101559,TRAF ENG,1,LECT,MO,13:00,16:00,CE,313,25,30
39,2101590,CONS TECH & PRODUC,1,LECT,FR,13:30,16:30,CE,212,60,75
40,2101601,ADV STRUCT THEORY,1,LECT,MO,09:00,10:30,CE,303,25,45
41,2101606,DYN AND VIBRATIONS,1,LECT,TU,10:30,12:00,CE,303,30,60
42,2101644,URB TRANS PLANNING,1,LECT,WE,09:00,12:00,ENG1,210,20,30
43,2101693,PROB ANAL CONS IND,1,LAB,TH,13:00,16:00,CELAB,207,30,50
44,2101800,ADV SOLID MECH,1,LECT,TH,13:30,16:30,CE,303,50,50
45,2101801,FRACTURE MECHANICS,1,LECT,FR,09:00,12:00,CE,303,50,65
46,2102201,ELECT ENG MATH I,1,LECT,TU,11:00,12:30,ENG3,407,30,30
47,2102202,ELECT ENG MATH II,1,LECT,MO,09:30,11:00,ENG3,204,45,85
48,2102202,ELECT ENG MATH II,2,LECT,MO,09:30,11:00,ENG3,205,45,50
49,2102202,ELECT ENG MATH II,3,LECT,MO,09:30,11:00,ENG3,206,45,45
50,2102212,CIRCUIT THEORY II,1,LECT,TU,09:30,11:00,EN100,201A,45,70
51,2102212,CIRCUIT THEORY II,2,LECT,TU,09:30,11:00,ENG3,419,40,60
52,2102212,CIRCUIT THEORY II,3,LECT,TU,09:30,11:00,ENG3,421,40,80
53,2102222,ENG EMAG,1,LECT,TU,11:00,12:30,EN100,201A,45,70
54,2102222,ENG EMAG,2,LECT,TU,11:00,12:30,ENG3,317,40,45
55,2102222,ENG EMAG,3,LECT,TU,11:00,12:30,ENG3,419,40,60
56,2102252,ELEC MACH I,1,LECT,MO,11:00,12:30,ENG3,401,65,120
57,2102252,ELEC MACH I,2,LECT,MO,11:00,12:30,ENG3,301,65,85
58,2102307,SIGNALS SYSTEMS,2,LECT,FR,09:00,12:00,EN100,504,45,80
59,2102308,PROP ELEC ENG MAT,1,LECT,TU,09:30,11:00,ENG3,409,120,235
60,2102311,ELEC MEAS/INSTRU,1,LECT,MO,11:00,12:30,ENG3,315,120,125
61,2102322,TELECOM TRANS,2,LECT,WE,14:00,17:00,ENG3,415,90,130
62,2102332,LIN CONT SYS I,1,LECT,TU,11:00,12:30,ENG3,318,35,40
63,2102356,ELEC MACH II,1,LECT,MO,08:00,09:30,ENG3,319,60,100
64,2102360,ELEC POWER SYS I,1,LECT,TH,13:00,16:00,ENG3,324,60,65
65,2102370,PRINC COMM,1,LECT,FR,09:00,12:00,ENG3,319,30,35
66,2102382,ETRON CIRCUITS,1,LECT,MO,09:30,11:00,ENG3,418,45,80
67,2102382,ETRON CIRCUITS,2,LECT,MO,09:30,11:00,ENG3,419,45,45
68,2102383,FUND DIGITAL SYS,1,LECT,MO,08:00,09:30,ENG3,204,20,20
69,2102384,ETRON LAB,1,LAB,MO,14:00,17:00,EE,308,9,5
70,2102384,ETRON LAB,10,LAB,FR,14:00,17:00,EE,308,9,5
71,2102384,ETRON LAB,11,LAB,FR,14:00,17:00,EE,308,9,5
72,2102384,ETRON LAB,12,LAB,FR,14:00,17:00,EE,308,9,5
73,2102384,ETRON LAB,2,LAB,MO,14:00,17:00,EE,308,9,15
74,2102384,ETRON LAB,3,LAB,MO,14:00,17:00,EE,308,9,10
75,2102384,ETRON LAB,4,LAB,MO,14:00,17:00,EE,308,9,15
76,2102384,ETRON LAB,5,LAB,TU,14:00,17:00,EE,308,9,15
77,2102384,ETRON LAB,6,LAB,TU,14:00,17:00,EE,308,9,15
78,2102384,ETRON LAB,7,LAB,TU,14:00,17:00,EE,308,9,15
79,2102384,ETRON LAB,8,LAB,TU,14:00,17:00,EE,308,9,15
80,2102384,ETRON LAB,9,LAB,FR,14:00,17:00,EE,308,9,15
81,2102391,ELEC ENG I,2,LECT,MO,11:00,12:30,ENG3,305,60,85
82,2102391,ELEC ENG I,3,LECT,MO,11:00,12:30,ENG3,306,60,85
83,2102391,ELEC ENG I,4,LECT,MO,11:00,12:30,ENG3,309,60,85
84,2102392,ELEC ENG LAB I,1,LAB,MO,14:00,17:00,EE,104,9,15
85,2102392,ELEC ENG LAB I,10,LAB,WE,14:00,17:00,EE,104,9,5
86,2102392,ELEC ENG LAB I,11,LAB,WE,14:00,17:00,EE,104,9,10
